,Hospitals,Hotels
0,Rungta Hospital,"APPOINTMENT LINK
- not available -"
1,Rungta Hospital,"INTERNATIONAL CUISINES
- Not Available -"
2,Rungta Hospital,"INTERNATIONAL RECOGNITIONS
- Not Available -"
3,Rungta Hospital,"ISO DETAILS
- Not Available -"
4,Rungta Hospital,"LANGUAGES
* English
* Hindi
* Oriya
* Telugu
* Tamil
* Chinese
* Punjabi
* Bangla
* Marathi
* Malyalam
* French"
5,Rungta Hospital,"CERTIFICATES
* NABH"
6,Rungta Hospital,
7,Rungta Hospital,
8,Rungta Hospital,
9,Rungta Hospital,
10,Rungta Hospital,
11,Rungta Hospital,
12,Rungta Hospital,
13,Rungta Hospital,
14,Rungta Hospital,
15,Rungta Hospital,
16,Rungta Hospital,
17,Rungta Hospital,
18,Rungta Hospital,
19,Rungta Hospital,
20,Rungta Hospital,
21,Rungta Hospital,
22,Rungta Hospital,
23,Rungta Hospital,
24,Rungta Hospital,
25,Rungta Hospital,
26,Rungta Hospital,
27,Rungta Hospital,
28,Rungta Hospital,
29,Rungta Hospital,
30,Rungta Hospital,
31,Rungta Hospital,
32,Rungta Hospital,
33,Rungta Hospital,
34,Rungta Hospital,
35,Rungta Hospital,
36,Rungta Hospital,
37,Rungta Hospital,
38,Rungta Hospital,
39,Rungta Hospital,
40,Rungta Hospital,
41,Rungta Hospital,
42,Rungta Hospital,
43,Rungta Hospital,
44,Rungta Hospital,
45,Rungta Hospital,
46,Rungta Hospital,
47,Rungta Hospital,
48,Rungta Hospital,
49,Rungta Hospital,
50,Rungta Hospital,
51,Rungta Hospital,
52,Rungta Hospital,
53,Rungta Hospital,
54,Rungta Hospital,
55,Rungta Hospital,
56,Rungta Hospital,
57,Rungta Hospital,
58,Rungta Hospital,
59,Rungta Hospital,
60,Rungta Hospital,
61,Rungta Hospital,
62,Rungta Hospital,
63,Rungta Hospital,
64,Rungta Hospital,
65,Rungta Hospital,
66,Rungta Hospital,
67,Rungta Hospital,
68,Rungta Hospital,
69,Rungta Hospital,
70,Rungta Hospital,
71,Rungta Hospital,
72,Rungta Hospital,
73,Rungta Hospital,
74,Rungta Hospital,
75,Rungta Hospital,
76,Rungta Hospital,
77,Rungta Hospital,
78,Rungta Hospital,
79,Rungta Hospital,
80,Rungta Hospital,
81,Rungta Hospital,
82,Rungta Hospital,
83,Rungta Hospital,
84,Rungta Hospital,
85,Rungta Hospital,
86,Rungta Hospital,
87,Rungta Hospital,
88,Rungta Hospital,
89,Rungta Hospital,
90,Rungta Hospital,
91,Rungta Hospital,
92,Rungta Hospital,
93,Rungta Hospital,
94,Rungta Hospital,
95,Rungta Hospital,
96,Rungta Hospital,
97,Rungta Hospital,
98,Rungta Hospital,
99,Rungta Hospital,
100,Rungta Hospital,
101,Rungta Hospital,
102,Rungta Hospital,
103,Rungta Hospital,
104,Rungta Hospital,
105,Rungta Hospital,
106,Rungta Hospital,
107,Rungta Hospital,
108,Rungta Hospital,
109,Rungta Hospital,
110,Rungta Hospital,
111,Rungta Hospital,
112,Rungta Hospital,
113,Rungta Hospital,
114,Rungta Hospital,
115,Rungta Hospital,
116,Rungta Hospital,
117,Rungta Hospital,
118,Rungta Hospital,
119,Rungta Hospital,
120,Rungta Hospital,
121,Rungta Hospital,
122,Rungta Hospital,
123,Rungta Hospital,
124,Rungta Hospital,
125,Rungta Hospital,
126,Rungta Hospital,
127,Rungta Hospital,
128,Rungta Hospital,"HOTEL'S NAME:
Radisson Hotel
STAR RTAING:
5
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
2.7
ROOM COUNT:
182
PRICE RANGE (INR):
- Not Available -
PRICE RANGE (USD):
- Not Available -
HOTELS LINK:
https://www.radissonhotels.com/en-us/"
129,"Dharamshila Hospital And Research Centre, Delhi","APPOINTMENT LINK
http://www.dhrc.in"
130,"Dharamshila Hospital And Research Centre, Delhi","INTERNATIONAL CUISINES
- Not Available -"
131,"Dharamshila Hospital And Research Centre, Delhi","INTERNATIONAL RECOGNITIONS
- Not Available -"
132,"Dharamshila Hospital And Research Centre, Delhi","ISO DETAILS
- Not Available -"
133,"Dharamshila Hospital And Research Centre, Delhi","LANGUAGES
* Arabic
* English
* French
* Russian"
134,"Dharamshila Hospital And Research Centre, Delhi","CERTIFICATES
* NABH
* ISO"
135,"Dharamshila Hospital And Research Centre, Delhi",
136,"Dharamshila Hospital And Research Centre, Delhi",
137,"Dharamshila Hospital And Research Centre, Delhi",
138,"Dharamshila Hospital And Research Centre, Delhi",
139,"Dharamshila Hospital And Research Centre, Delhi",
140,"Dharamshila Hospital And Research Centre, Delhi",
141,"Dharamshila Hospital And Research Centre, Delhi",
142,"Dharamshila Hospital And Research Centre, Delhi",
143,"Dharamshila Hospital And Research Centre, Delhi",
144,"Dharamshila Hospital And Research Centre, Delhi",
145,"Dharamshila Hospital And Research Centre, Delhi",
146,"Dharamshila Hospital And Research Centre, Delhi",
147,"Dharamshila Hospital And Research Centre, Delhi",
148,"Dharamshila Hospital And Research Centre, Delhi",
149,"Dharamshila Hospital And Research Centre, Delhi",
150,"Dharamshila Hospital And Research Centre, Delhi",
151,"Dharamshila Hospital And Research Centre, Delhi",
152,"Dharamshila Hospital And Research Centre, Delhi",
153,"Dharamshila Hospital And Research Centre, Delhi",
154,"Dharamshila Hospital And Research Centre, Delhi",
155,"Dharamshila Hospital And Research Centre, Delhi",
156,"Dharamshila Hospital And Research Centre, Delhi",
157,"Dharamshila Hospital And Research Centre, Delhi",
158,"Dharamshila Hospital And Research Centre, Delhi",
159,"Dharamshila Hospital And Research Centre, Delhi",
160,"Dharamshila Hospital And Research Centre, Delhi",
161,"Dharamshila Hospital And Research Centre, Delhi",
162,"Dharamshila Hospital And Research Centre, Delhi",
163,"Dharamshila Hospital And Research Centre, Delhi",
164,"Dharamshila Hospital And Research Centre, Delhi",
165,"Dharamshila Hospital And Research Centre, Delhi",
166,"Dharamshila Hospital And Research Centre, Delhi",
167,"Dharamshila Hospital And Research Centre, Delhi",
168,"Dharamshila Hospital And Research Centre, Delhi",
169,"Dharamshila Hospital And Research Centre, Delhi",
170,"Dharamshila Hospital And Research Centre, Delhi",
171,"Dharamshila Hospital And Research Centre, Delhi",
172,"Dharamshila Hospital And Research Centre, Delhi",
173,"Dharamshila Hospital And Research Centre, Delhi",
174,"Dharamshila Hospital And Research Centre, Delhi",
175,"Dharamshila Hospital And Research Centre, Delhi",
176,"Dharamshila Hospital And Research Centre, Delhi",
177,"Dharamshila Hospital And Research Centre, Delhi",
178,"Dharamshila Hospital And Research Centre, Delhi",
179,"Dharamshila Hospital And Research Centre, Delhi",
180,"Dharamshila Hospital And Research Centre, Delhi",
181,"Dharamshila Hospital And Research Centre, Delhi",
182,"Dharamshila Hospital And Research Centre, Delhi",
183,"Dharamshila Hospital And Research Centre, Delhi",
184,"Dharamshila Hospital And Research Centre, Delhi","HOTEL'S NAME:
OYO 10667 Prakash Guest House
STAR RTAING:
2
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
1.0
ROOM COUNT:
35
PRICE RANGE (INR):
1800
PRICE RANGE (USD):
24
HOTELS LINK:
oyorooms.com"
185,"Dharamshila Hospital And Research Centre, Delhi","HOTEL'S NAME:
Hotel Noida Darbar A Banquet Hotel
STAR RTAING:
2
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
1.0
ROOM COUNT:
43
PRICE RANGE (INR):
2500
PRICE RANGE (USD):
33
HOTELS LINK:
https://noidadarbar.business.site/?utm_source=gmb&utm_medium=referral"
186,"Dharamshila Hospital And Research Centre, Delhi","SIGHT'S NAME:
Raj Ghat
SIGHTS' ADDRESS:
Behind Red Fort, New Delhi, Delhi 110006
SIGHT DISTANCE FROM HOSPITAL (IN KM):
12.0
CONNECTIVITY:
Cab
HOTELS LINK:
- Not Available -
TRAVEL AGENCY DETAILS
AGENCY NAME:
Ola Cabs
AGENCY WEBSITE:
olacabs.com
AGENCY CONTACT:
080-67350900"
187,"Dharamshila Hospital And Research Centre, Delhi","MARKET NAME:
Malda Bazar
MARKET IS KNOWN FOR:
Fresh Vegetables & Fresh Non Veg Raw Food
RESTURANTS IN MARKET PLACE:
Fast Food, Casual, Family Resturants, Etc
RELIGIOUS PLACES IN MARKET:
Temple"
188,"Care Hospitals, Vishakhapatnam","APPOINTMENT LINK
http://www.carehospitals.com"
189,"Care Hospitals, Vishakhapatnam","INTERNATIONAL CUISINES
* Indian
* Continental
* French"
190,"Care Hospitals, Vishakhapatnam","INTERNATIONAL RECOGNITIONS
- Not Available -"
191,"Care Hospitals, Vishakhapatnam","ISO DETAILS
- Not Available -"
192,"Care Hospitals, Vishakhapatnam","LANGUAGES
* Arabic
* French
* Russian
* Spanish"
193,"Care Hospitals, Vishakhapatnam","CERTIFICATES
* NABH"
194,"Care Hospitals, Vishakhapatnam",
195,"Care Hospitals, Vishakhapatnam",
196,"Care Hospitals, Vishakhapatnam",
197,"Care Hospitals, Vishakhapatnam",
198,"Care Hospitals, Vishakhapatnam",
199,"Care Hospitals, Vishakhapatnam",
200,"Care Hospitals, Vishakhapatnam",
201,"Care Hospitals, Vishakhapatnam",
202,"Care Hospitals, Vishakhapatnam",
203,"Care Hospitals, Vishakhapatnam",
204,"Care Hospitals, Vishakhapatnam",
205,"Care Hospitals, Vishakhapatnam",
206,"Care Hospitals, Vishakhapatnam",
207,"Care Hospitals, Vishakhapatnam",
208,"Care Hospitals, Vishakhapatnam",
209,"Care Hospitals, Vishakhapatnam",
210,"Care Hospitals, Vishakhapatnam",
211,"Care Hospitals, Vishakhapatnam",
212,"Care Hospitals, Vishakhapatnam",
