,Brand Name,Generic Name,Drug Type,Route,Dosage Form,Date
0,A AND A Diaper Rash cream,DIMETHICONE AND ZINC OXIDE,HUMAN OTC DRUG,TOPICAL,CREAM,2018-10-06
1,A and D,DIMETHICONE AND ZINC OXIDE,HUMAN OTC DRUG,TOPICAL,CREAM,2018-10-06
2,A and D Diaper Rash and Skin Protectant,LANOLIN AND PETROLATUM,HUMAN OTC DRUG,TOPICAL,CREAM,2018-10-06
3,A and D plus E,"VITAMIN A, D, AND E OINTMENT",HUMAN OTC DRUG,NaN,OINTMENT,2021-02-11
4,A Bit Hippy,COLLOIDAL OATMEAL,HUMAN OTC DRUG,TOPICAL,CREAM,2018-10-06
5,A-Med brand First Aid Eye and Skin-Rinse,PURIFIED WATER,HUMAN OTC DRUG,TOPICAL,SOLUTION,2021-02-11
6,Abacavir,ABACAVIR SULFATE,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,"TABLET, FILM COATED",2019-11-18
7,Abacavir,ABACAVIR SULFATE,HUMAN PRESCRIPTION DRUG,ORAL,SOLUTION,2019-10-21
8,Abacavir and Lamivudine,ABACAVIR AND LAMIVUDINE,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, FILM COATED",2021-10-11
9,Abacavir Sulfate,ABACAVIR SULFATE,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, FILM COATED",2019-05-20
10,"ABACAVIR, LAMIVUDINE AND ZIDOVUDINE","ABACAVIR , LAMIVUDINE AND ZIDOVUDINE",HUMAN PRESCRIPTION DRUG,ORAL,TABLET,2019-07-29
11,ABANATUSS PED,"CHLOPHEDIANOL HYDROCHLORIDE, DEXCHLORPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,SOLUTION,2019-11-18
12,ABANATUSS PED DROPS,"CHLOPHEDIANOL HYDROCHLORIDE, DEXCHLORPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,SOLUTION,2019-11-18
