,Hospital,Phone Number,Location,Voting,Verified,Payment Mode,COUNTRY,STATE,CITY,Links
0,Baylor Scott & White Heart and Vascular Hospital - Dallas,(214) 820-0600,"621 N Hall St
Dallas, TX 75226",89%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/baylor-scott-white-heart-and-vascular-hospital-dallas-hgsta62b09d9450851
1,Baylor Scott & White Heart and Vascular Hospital - Dallas,(214) 820-0600,"621 N Hall St
Dallas, TX 75226",89%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/baylor-university-medical-center-part-of-baylor-scott-white-health-hgstbf1bc8b6450021
2,"Baylor University Medical Center, part of Baylor Scott & White Health",(214) 820-0111,"3500 Gaston Ave
Dallas, TX 75246",79%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/methodist-dallas-medical-center-hgst412bc8b6450051
3,Methodist Dallas Medical Center,(214) 947-8181,"1441 N Beckley Ave
Dallas, TX 75203",73%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/baylor-scott-white-medical-center-uptown-hgst113bc8b6450422
4,Baylor Scott & White Medical Center - Uptown,(214) 443-3000,"2727 E Lemmon Ave
Dallas, TX 75204",90%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/parkland-health-and-hospital-system-hgst6f1bc8b6450015
5,Parkland Health And Hospital System,(214) 590-8000,"5200 Harry Hines Blvd
Dallas, TX 75235",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/select-specialty-hospital-dallas-downtown-hgst46e0c4b8670100
6,Select Specialty Hospital Dallas Downtown,(972) 227-0093,"3500 Gaston Ave
Dallas, TX 75246",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/william-p-clements-jr-university-hospital-hgste02bc8b6450044
7,William P. Clements Jr. University Hospital,(214) 633-4700,"6201 Harry Hines Blvd
Dallas, TX 75235",86%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/texas-health-presbyterian-hospital-dallas-hgst323bc8b6450462
8,Texas Health Presbyterian Hospital Dallas,(214) 345-6789,"8200 Walnut Hill Ln
Dallas, TX 75231",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/north-central-surgical-center-hgst20ea52d3670049
9,North Central Surgical Center,(214) 265-2810,"9301 N Central Expy
Dallas, TX 75231",90%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/city-hospital-at-white-rock-hgst1b3bc8b6450678
10,City Hospital At White Rock,(214) 324-6100,"9440 Poppy Dr
Dallas, TX 75218",51%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/medical-city-childrens-hospital-hgst293bc8b6450647
11,Medical City Children's Hospital,(972) 566-7000,"7777 Forest Ln
Dallas, TX 75230",78%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/texas-institute-for-surgery-at-texas-health-presbyterian-dallas-hgste53e09d7450889
12,Texas Institute for Surgery at Texas Health Presbyterian Dallas,(214) 647-5300,"7115 Greenville Ave
Dallas, TX 75231",89%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/baylor-scott-white-medical-center-irving-hgstb22bc8b6450079
13,Baylor Scott & White Medical Center - Irving,(972) 579-8100,"1901 N MacArthur Blvd
Irving, TX 75061",75%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/methodist-charlton-medical-center-hgst8d3bc8b6450723
14,Methodist Charlton Medical Center,(214) 947-7777,"3500 W Wheatland Rd
Dallas, TX 75237",70%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/dallas-medical-center-hgstcf2bc8b6450379
15,Dallas Medical Center,(972) 942-8012,"7 Medical Pkwy
Dallas, TX 75234",53%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/dallas-regional-medical-center-hgstbb3bc8b6450688
16,Dallas Regional Medical Center,(214) 945-8066,"1011 N Galloway Ave
Mesquite, TX 75149",58%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/medical-city-las-colinas-hgst63a3decc450822
17,Medical City Las Colinas,(972) 969-2000,"6800 N MacArthur Blvd
Irving, TX 75039",74%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/first-baptist-medical-center-hgst2b11bfc6hg0669
18,First Baptist Medical Center,(469) 329-3700,"8111 Meadow Rd
Dallas, TX 75231",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/baylor-scott-white-surgical-hospital-las-colinas-hgst9b08e371450874
19,Baylor Scott & White Surgical Hospital - Las Colinas,(972) 868-4000,"400 W Lyndon B Johnson Fwy
Irving, TX 75063",86%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/baylor-scott-white-medical-center-plano-hgsta9d0fe06450890
