,Hospital,Hotels,Ratings,KM Range,Room Count,Price USD,Price INR
0,"Rainbow Hospital For Women & Children, Hyderabad",Taj Krishna,5,0.5,261,106,8000
1,"Rainbow Hospital For Women & Children, Hyderabad",Minerva Grand,2,0.5,55,33,2500
2,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",Ellaa Hotels,5,9.0,117,53,4000
3,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",Holiday Inn Express Hotel & Suites Hyderabad Gachibowli,3,2.0,232,40,3000
4,KAMALAKAR HOSPITAL,SHELTON,3,4.0,100,100,6000
5,"Continental Hospitals, Hyderabad",Holiday Inn Express Hotel & Suites Hyderabad Gachibowli,3,2.0,232,53,4000
6,"Continental Hospitals, Hyderabad",Radisson Hyderabad Hitec City,5,5.0,202,49,3700
7,Medicover Hospitals India,IBIS Hotel,3,0.1,50,33,2500
8,Medicover Hospitals India,FabHotel Prowell Crown,3,0.1,55,28,2100
9,Mahatma Gandhi Cancer Hospital & Research Institute,Four Points,5,5.0,50,- Not Available -,5000
10,Mahatma Gandhi Cancer Hospital & Research Institute,Treebo Trend MVP Grand,3,0.2,50,26,2000
11,Neoretina Eyecare Institute,Hotel Marjan International,3,1.0,25,21,1500
12,Neoretina Eyecare Institute,Hotel Srujana Stay Inn,3,1.0,23,21,1500
13,"Star Hospitals, Hyderabad",Hotel Comfotel,3,1.0,52,50,3500
14,"Star Hospitals, Hyderabad",Minerva Grand Banjara Hills,3,0.65,46,42,3000
15,Omni Hospitals,Hotel Sitara Grand,2,1.5,25,31,2200
16,Omni Hospitals,Zibe Hyderabad By GRT Hotels,3,1.9,39,41,2900
17,"APOLLO HOSPITALS, KAKINADA (Samudra Health Care Enterprises Ltd.) (A Unit Of Apollo Hospitals Enterprises Limited)",Hotel Arka,2,0.5,22,24,1700
18,"APOLLO HOSPITALS, KAKINADA (Samudra Health Care Enterprises Ltd.) (A Unit Of Apollo Hospitals Enterprises Limited)",Hotel Jaya Residency,3,0.7,17,31,2200
19,"APOLLO HOSPITALS, KAKINADA (Samudra Health Care Enterprises Ltd.) (A Unit Of Apollo Hospitals Enterprises Limited)",Hotel Arka,2,0.5,22,24,1700
20,"APOLLO HOSPITALS, KAKINADA (Samudra Health Care Enterprises Ltd.) (A Unit Of Apollo Hospitals Enterprises Limited)",Hotel Jaya Residency,3,0.7,17,31,2200
21,Down Town Hospital Ltd,Novotel: 5 Star Hotel,5,1.0,118,100,7000
22,Down Town Hospital Ltd,Ginger Guwahati,3,3.0,60,57,4000
23,Jeevak Heart Hospital & Research Institute,Lemon Tree Premier,5,3.0,105,- Not Available -,6000
24,"Paras HMRI Hospital, Patna",Hotel AVR,3,0.5,50,111.5,8000
25,"Paras HMRI Hospital, Patna",Hotel Krrish Clarks Inn,3,2.0,47,33,2500
26,Max Super Specialty Hospital Mohali,Glades Hotel,3,3.0,35,33,2500
27,Max Super Specialty Hospital Mohali,Capital O 1731 Mohali,3,4.0,40,11,830
28,Grewal Eye Institute,TAJ CHANDIGARH,5,1.0,- Not Available -,- Not Available -,- Not Available -
29,Grewal Eye Institute,Hotel Icon,4,1.0,18,56,4000
30,"Dharamshila Hospital And Research Centre, Delhi",OYO 10667 Prakash Guest House,2,1.0,35,24,1800
31,"Dharamshila Hospital And Research Centre, Delhi",Hotel Noida Darbar A Banquet Hotel,2,1.0,43,33,2500
32,FORTIS FLT.LT.RAJAN DHALL HOSPITAL,The Paradise,3,0.3,38,33,2500
33,FORTIS FLT.LT.RAJAN DHALL HOSPITAL,Hotel Mulberry,2,1.0,46,24,1800
34,"Rockland Hospital, Qutab",THE TAJ MAHAL,5,10.0,274,225,- Not Available -
35,"Rockland Hospital, Qutab",LE MERIDIEN NEW DELHI,5,12.0,358,106,8000
36,"Max Super Speciality Hospitals, Patparganj",LE MERIDIEN NEW DELHI,5,12.0,360,106,8000
37,"Max Super Speciality Hospitals, Patparganj",THE ROYAL PLAZA,4,10.0,420,80,6000
38,"Indian Spinal Injuries Centre, Delhi",GRAND SARTAJ,3,6.0,38,33,2500
39,"Indian Spinal Injuries Centre, Delhi",CLARION COLLECTION,4,7.0,60,66,5000
40,Pushpawati Singhania Research Institute,Hilton Garden Inn,4,1.0,78,106,8000
41,Pushpawati Singhania Research Institute,GRAND SARTAJ,3,4.0,38,53,4000
42,"Primus Super Speciality Hospital, Delhi",Ashok Hotel,5,2.0,550,79,6000
43,"Primus Super Speciality Hospital, Delhi",Samrat Hotel,5,2.0,255,66,5000
44,"Maharishi Ayurveda Hospital, Delhi",HOTEL ASIAN INTERNATIONAL,3,10.0,40,53,4000
45,"Maharishi Ayurveda Hospital, Delhi",HOTEL THE MANOR,5,4.0,20,92,7000
46,Kukreja Hospital,Hotel Holiday Inn Mayur Vihar,4,3.2,189,60-92,4500-7000
47,"ISIS Hospital IVF & Multi Speciality Centre, Delhi",CLARION COLLECTION,4,9.0,60,66,5000
48,"ISIS Hospital IVF & Multi Speciality Centre, Delhi",THE LALIT NEW DELHI?,5,9.8,461,105,8000
49,"Wockhardt Hospitals, Goa",La Ben Resort,2,15.0,45,33,2500
50,"Wockhardt Hospitals, Goa",Taj Exotica,2,12.0,30,33,2500
51,Manipal Hospitals Goa,Ocean Suite,5,1.9,24,24,1700
52,Manipal Hospitals Goa,OYO 11443 Exotic Studio,1,1.5,19,20,1400
