,Type,Name,Phone,Address,City,Pincode,Country,Timings,Mode_of_Payment,Currency,Link_to_profile
0,Pharmacy,A A Pharma,(0522) 2297197,"Shop No-6,1st Flr, J &amp; K Medicine Mkt, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41348/a-a-pharma
1,Pharmacy,A. K. Medical Store,9838646093,"19, Nazir Ganj, Daliganj, Lucknow",Lucknow,226020,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41030/a-k-medical-store
2,Pharmacy,AGARWAL medical store,9005642100,"3, Nr shalimar square, Novelty rd, Lalbagh, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41106/agarwal-medical-store
3,Pharmacy,Abha Medical Store,(0522) 2638266,"57/1, Guru Govind Singh Marg, Lalkuan, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41249/abha-medical-store
4,Pharmacy,Agarwal Medical Store,(0522) 2615048,"Abhay Singh Trust Building, 10, Narhi, Hazratganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40978/agarwal-medical-store
5,Pharmacy,Agarwal Pharmaceuticals,(0522) 2627613,"Shop No-2, Ground Floor, Soloman Market, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41364/agarwal-pharmaceuticals
6,Pharmacy,Agrawal medical,9918721501,"20,sahe Singh building, Narhi market, Hazratganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41107/agrawal-medical
7,Pharmacy,Ajay Medical Hall,(0522) 2375302,"4, Opp. Petrol Pump, Kurshi Road, Aliganj, Lucknow",Lucknow,226024,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41137/ajay-medical-hall
8,Pharmacy,Ajay Medical Store,(0522) 2391581,"3/330, Vivek Khand-3, Gomti Nagar, Lucknow",Lucknow,226010,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41068/ajay-medical-store
9,Pharmacy,Ajay pharmacy,9935385363,"Shop no.-8-9, LDA market, vishal khand, OPP. CMS, Cms road, Gomti Nagar Lucknow, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41287/ajay-pharmacy
10,Pharmacy,Akshat Pharma,(0522) 3914245,"Ugf-2, Jeevandan Shopping Mall, Medicine Market, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41053/akshat-pharma
11,Pharmacy,Alfa Medical Store,(0522) 2227653,"Super Market, Sauza Road, Lalbagh, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40973/alfa-medical-store
12,Pharmacy,Alia Chemist Clinic,9935225287,"1st Flr,Mari Gold Bldg, Hazratganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41162/alia-chemist-clinic
13,Pharmacy,Alok Medical Store,(0522) 2638529,"LAL Kuan Chauraha, Lalkuan, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41248/alok-medical-store
14,Pharmacy,Alora Medical Store,9305142399,"Chawla Market, Telibag Bazar, Telibagh, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41324/alora-medical-store
15,Pharmacy,Amar Medical Store,(0522) 2352049,"Shop No -6,Bhoot Nath Builiding, Bhoot Nath, Indira Nagar Lucknow, Lucknow",Lucknow,226016,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41062/amar-medical-store
16,Pharmacy,Amarpushp Distributor,(0522) 2200166,"Aminabad, G-5, Kailash Tower, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41378/amarpushp-distributor
