,Disease,Questions,Options
0,COVID-19,How old are you?,"Below 18 years, 19 - 30 years, 31 - 40 years, 41 - 50 years, 51 - 60 years, Above 60 years, "
1,COVID-19,Are you experiencing any of the following problems?,"Tiredness, Throat Pain, Fever, Loss of Taste/Smell, Cough, Breathing Difficulty, Muscle Pain, Loose stools, None of the above, "
2,COVID-19,How long have you had throat pain?,"1 - 3 days, 3- 5 days, 5 -7 days, 7 - 14 days, "
3,COVID-19,How bad is your throat pain?,"Mild, Moderate, Severe, No pain, "
4,COVID-19,"Have you travelled in the last 15 days, inside or outside India? ","Yes, No, "
5,COVID-19,Have you come in contact with anyone who travelled in the last 15 days?,"Yes, No, Don't Know, "
6,COVID-19,"Have you met or been in close contact with someone who has had fever, cough, sneezing or throat irritation in the past 15 days? ","Yes, No, Don't Know, "
7,COVID-19,Have you come in contact with anybody who has been diagnosed with COVID-19 in the last 15 days? ,"Yes, No, Don't Know, "
8,COVID-19,"Have you been to any gatherings of more than 50 people - like theatre, shopping mall, marriage, community prayers in the last 15 days?","Yes, No, "
9,COVID-19, Do you wear a mask while you are outside or when in close contact with others?,"Yes, No, Sometimes, "
10,COVID-19,Have you been diagnosed with Covid-19?,"currently Covid +ve, Recovered from Covid, Don't Know, Not yet tested, No, "
11,COVID-19,", can you tell me if you have been vaccinated?","Yes - both doses, Yes - but only 1 dose, No, "
0,Heart Attack,Please let me know how old you are. ,"20 years & less, 21 to 30 years, 31 to 40 years, 41 to 50 years, 51 to 60 years, Above 60 years, "
1,Heart Attack,And you are...,"Male, Female, Other, "
2,Heart Attack,Do you relate with any of these symptoms?,"Pounding heart beat at rest, Episodes of giddiness/fainting, Breathlessness while walking, Chest Pain, None of the above, "
3,Heart Attack,"As you are experiencing a 'pounding heartbeat' even at rest, what was your recorded heart rate?","Below 80, 80 -100, 101 - 140, Above 140, "
4,Heart Attack,Have you had your cholesterol level tested recently?,"Yes, No, "
5,Heart Attack,Did your report mention any of these abnormalities? ,"High LDL, Low HDL, High Total Cholesterol, High Triglycerides, Cholesterol levels controlled with medication, None of the above, "
6,Heart Attack,Do you have high blood pressure?,"Yes, I have high BP, No, I've always had normal BP, I have low BP, I don't know, "
7,Heart Attack,Are you on medication for high blood pressure?,"Yes, No, "
8,Heart Attack,Do you smoke or are constantly exposed to passive smoke for the last 12 months?,"Yes, No, More than 1 year since I quit, "
9,Heart Attack,Have you smoked 100 or more cigarettes in your lifetime?,"Yes, No, "
10,Heart Attack,Do you drink alcohol?,"Occasionally, Everyday( > 2 drinks/day), I don't drink, "
11,Heart Attack,Have you experienced any of the following conditions?,"Heart attack, Stroke, None of the above, "
