,Hospital,Phone Number,Location,Voting,Verified,Payment Mode,COUNTRY,STATE,CITY,Links
0,Sharp Memorial Hospital,(858) 939-3400,"7901 Frost St
San Diego, CA 92123",84%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/sharp-memorial-hospital-hgstcf418d46050100
1,Sharp Memorial Hospital,(858) 939-3400,"7901 Frost St
San Diego, CA 92123",84%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/sharp-mary-birch-hospital-for-women-and-newborns-hgst7e618d46050722
2,Sharp Mary Birch Hospital for Women and Newborns,(858) 939-3400,"3003 Health Center Dr
San Diego, CA 92123",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/kaiser-permanente-zion-medical-center-hgst64618d46050515
3,Kaiser Permanente Zion Medical Center,(619) 528-5000,"4647 Zion Ave
San Diego, CA 92120",80%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/rady-childrens-hospital-san-diego-hgch05a18d46053303
4,Rady Children's Hospital San Diego,(858) 576-1700,"3020 Childrens Way
San Diego, CA 92123",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/ucsd-medical-center-hillcrest-hgstab418d46050025
5,UCSD Medical Center - Hillcrest,(619) 543-6222,"200 W Arbor Dr
San Diego, CA 92103",80%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/scripps-mercy-hospital-san-diego-hgst5e418d46050077
6,Scripps Mercy Hospital San Diego,(619) 294-8111,"4077 5th Ave
San Diego, CA 92103",66%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/alvarado-hospital-medical-center-hgstdb95c4aa050757
7,Alvarado Hospital Medical Center,(619) 287-3270,"6655 Alvarado Rd
San Diego, CA 92120",64%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/scripps-memorial-hospital-la-jolla-hgstdb518d46050324
8,Scripps Memorial Hospital La Jolla,(858) 626-4123,"9888 Genesee Ave
La Jolla, CA 92037",82%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/scripps-green-hospital-hgstb0618d46050424
9,Scripps Green Hospital,(858) 455-9100,"10666 N Torrey Pines Rd
La Jolla, CA 92037",84%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/sharp-coronado-hospital-hgst57518d46050234
10,Sharp Coronado Hospital,(619) 522-3600,"250 Prospect Pl
Coronado, CA 92118",82%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/paradise-valley-hospital-hgst9b418d46050024
11,Paradise Valley Hospital,(619) 470-4321,"2400 E 4th St
National City, CA 91950",68%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/sharp-grossmont-hospital-hgstbb418d46050026
12,Sharp Grossmont Hospital,(619) 740-6000,"5555 Grossmont Center Dr
La Mesa, CA 91942",72%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/scripps-mercy-hospital-chula-vista-hgst29518d46050270
13,Scripps Mercy Hospital Chula Vista,(619) 691-7000,"435 H St
Chula Vista, CA 91910",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/palomar-medical-center-poway-hgstc9618d46050636
14,Palomar Medical Center Poway,(858) 480-6174,"15615 Pomerado Rd
Poway, CA 92064",69%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/sharp-chula-vista-medical-center-hgstb6518d46050222
15,Sharp Chula Vista Medical Center,(619) 502-5800,"751 Medical Center Ct
Chula Vista, CA 91911",75%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/scripps-memorial-hospital-encinitas-hgst24618d46050503
16,Scripps Memorial Hospital Encinitas,(760) 633-6501,"354 Santa Fe Dr
Encinitas, CA 92024",77%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/palomar-medical-center-escondido-hgsta0518d46050115
17,Palomar Medical Center Escondido,(442) 281-5000,"2185 Citracado Pkwy
Escondido, CA 92029",77%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/palomar-medical-center-downtown-escondido-hgst13b3b3f1hg0632
18,Palomar Medical Center Downtown Escondido,(442) 274-0603,"555 E Valley Pkwy
Escondido, CA 92025",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/tri-city-medical-center-hgst61518d46050128
19,Tri-city Medical Center,(760) 724-8411,"4002 Vista Way
Oceanside, CA 92056",61%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-southern/temecula-valley-hospital-hgstad030ea0050775
