,Hospital,Phone Number,Location,Voting,Verified,Payment Mode,COUNTRY,STATE,CITY,Links
0,Santa Clara Valley Medical Center,(408) 885-5000,"751 S Bascom Ave
San Jose, CA 95128",63%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/santa-clara-valley-medical-center-hgst3c418d46050038
1,Santa Clara Valley Medical Center,(408) 885-5000,"751 S Bascom Ave
San Jose, CA 95128",63%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/regional-medical-center-of-san-jose-hgst31518d46050125
2,Regional Medical Center Of San Jose,(408) 259-5000,"225 N Jackson Ave
San Jose, CA 95116",63%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/oconnor-hospital-hgst03518d46050153
3,O'Connor Hospital,(408) 947-2500,"2105 Forest Ave
San Jose, CA 95128",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/kaiser-permanente-santa-clara-medical-center-hgstfd418d46050071
4,Kaiser Permanente Santa Clara Medical Center,(408) 236-6400,"700 Lawrence Expy
Santa Clara, CA 95051",77%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/el-camino-health-los-gatos-campus-hgstb4518d46050188
5,El Camino Health - Los Gatos Campus,(408) 378-6131,"815 Pollard Rd
Los Gatos, CA 95032",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/good-samaritan-hospital-hgst8e518d46050380
6,Good Samaritan Hospital,(408) 559-2011,"2425 Samaritan Dr
San Jose, CA 95124",71%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/kaiser-permanente-san-jose-medical-center-hgst78618d46050604
7,Kaiser Permanente San Jose Medical Center,(408) 972-3000,"250 Hospital Pkwy
San Jose, CA 95119",67%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/mountain-view-campus-el-camino-hospital-hgst1b518d46050308
8,Mountain View Campus (El Camino Hospital),(650) 940-7000,"2500 Grant Rd
Mountain View, CA 94040",82%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/stanford-health-care-hgst91618d46050441
9,Stanford Health Care,(650) 723-4000,"300 Pasteur Dr
Stanford, CA 94305",82%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/washington-hospital-hgst35518d46050195
10,Washington Hospital,(510) 797-1111,"2000 Mowry Ave
Fremont, CA 94538",75%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-mateo/kaiser-permanente-redwood-city-medical-center-hgst55618d46050541
11,Kaiser Permanente Redwood City Medical Center,(650) 299-2000,"1100 Veterans Blvd
Redwood City, CA 94063",83%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-mateo/sequoia-hospital-hgst55518d46050197
12,Sequoia Hospital,(650) 410-7514,"170 Alameda De Las Pulgas
Redwood City, CA 94062",85%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-mateo/mills-health-center-hgstda518d46050302
13,Mills Health Center,(650) 696-5400,"100 S San Mateo Dr
San Mateo, CA 94401",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/stanford-health-care-valleycare-hgste9518d46050283
14,Stanford Health Care Valleycare,(925) 847-3000,"5555 W Las Positas Blvd
Pleasanton, CA 94588",77%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/eden-medical-center-hgst93618d46050488
15,Eden Medical Center,(510) 537-1234,"20103 Lake Chabot Rd
Castro Valley, CA 94546",76%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-northern/dominican-hospital-hgstd7518d46050242
16,Dominican Hospital,(831) 204-6616,"1555 Soquel Dr
Santa Cruz, CA 95065",68%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-mateo/mills-peninsula-medical-center-hgstaa418d46050007
17,Mills-peninsula Medical Center,(650) 696-5400,"1501 Trousdale Dr
Burlingame, CA 94010",82%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/kaiser-permanente-san-leandro-medical-center-hgstcd546ace050777
18,Kaiser Permanente San Leandro Medical Center,(510) 454-1000,"2500 Merced St
San Leandro, CA 94577",73%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-mateo/kaiser-permanente-south-san-francisco-medical-center-hgsted418d46050070
19,Kaiser Permanente South San Francisco Medical Center,(650) 742-2000,"1200 El Camino Real
South San Francisco, CA 94080",74%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-northern/sutter-maternity-and-surgery-center-of-santa-cruz-hgstfd618d46050714
20,Sutter Maternity and Surgery Center Of Santa Cruz,(831) 477-2200,"2900 Chanticleer Ave
Santa Cruz, CA 95065",91%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/alta-bates-summit-medical-center-hgst8c418d46050043
21,Alta Bates Summit Medical Center,(510) 655-4000,"350 Hawthorne Ave
Oakland, CA 94609",71%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-santa-clara/lucile-packard-childrens-hospital-stanford-hgch25a18d46053305
22,Lucile Packard Children's Hospital Stanford,(650) 497-8000,"725 Welch Rd
Palo Alto, CA 94304",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-mateo/menlo-park-surgical-hospital-hgst8e2274a8050754
23,Menlo Park Surgical Hospital,(650) 324-8500,"570 Willow Rd
Menlo Park, CA 94025",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/alta-bates-summit-medical-center-alta-bates-campus-hgstfa518d46050305
24,Alta Bates Summit Medical Center - Alta Bates Campus,(510) 204-4444,"2450 Ashby Ave
Berkeley, CA 94705",63%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/john-muir-health-walnut-creek-medical-center-hgst64518d46050180
