,Type,Name,Phone,Address,City,Pincode,Country,Timings,Mode_of_Payment,Currency,Link_to_profile
0,Pharmacy,A B C Medicines,(0261) 2417596,"3/321 Krishna Palace, Branpuri, Main Road, Bhagal, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53165/a-b-c-medicines
1,Pharmacy,A G Med & Pro Stores,9426874721,"KIM Char Rasta, Surat",Surat,394111,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53404/a-g-med-pro-stores
2,Pharmacy,A M Medicals,(0261) 2429125,"Swagat Appt, Saiyedpura, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53428/a-m-medicals
3,Pharmacy,A One Medical,9173369888,"Shop No 19, Prabhukrupa Society, Behind Spiningmill, Near Laxmannagar, Punagam, SURAT",Surat,394210,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53372/a-one-medical
4,Pharmacy,A To Z Medicines,9824055123,"1 Kunj Gali, B/W Pooja Hospital, Opp Paras Police Chowki, Katargram, Surat",Surat,395004,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53392/a-to-z-medicines
5,Pharmacy,A U C Medicine,9898369296,"Plot No 44 Jalaram Nagar, Nr Piyush Point, Housing Board, Pandesara, SURAT",Surat,394221,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53324/a-u-c-medicine
6,Pharmacy,AAI Mata Medical Store,9725132661,"Plot No., Ashapuri Society - 1, 120 Feet Bamroli Road, Pandesara, Surat",Surat,394221,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53322/aai-mata-medical-store
7,Pharmacy,ABC Chemist,,"12/623,Shirin Chambers, LAL Gate, Opp: Pal Dairy, LAL Gate, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53454/abc-chemist
8,Pharmacy,ABC Medical Store,(0261) 2431521,"7/279, Helena Trade, Nr. Railway Station, Una Pani Road, Unapani Road, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53155/abc-medical-store
9,Pharmacy,AMI Medico & General Stores,(0261) 2481194,"1 Harsh Complex, B/H Police Station &amp; Bus Stand, Main Road, Katargram, Surat",Surat,395004,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53460/ami-medico-general-stores
10,Pharmacy,Aalok Medical & Provision Stores,(0261) 2892849,"B 311, Gujarat Housing Board, Opposite Water Tank, Pandesara, Surat",Surat,394221,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53269/aalok-medical-provision-stores
11,Pharmacy,Aaryan Medical Stores,9724651610,"Shop No-2, Plot No- 102, Sonal Industries, Chikuwadi, Pandesara, SURAT",Surat,394221,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53325/aaryan-medical-stores
12,Pharmacy,Aayush Medical & Pro Stores,9426107218,"4 Ambicanagar, Doswada, Surat",Surat,394365,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53511/aayush-medical-pro-stores
13,Pharmacy,Adarsh Chemist,(0261) 3054334,"9, Shiv Darshan Apartment, Near Pooja Hospital, L B Cinema, Bhatar Road, Surat",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53493/adarsh-chemist
14,Pharmacy,Adarsh Medicals,(0261) 2667095,"U 3 Shilp Apartment, Opp Gokulam Dairy, Athwa, Surat",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53192/adarsh-medicals
