,Type,Photo,Name,Speciality,Address,City,State,Country,Contacts,Page Link,Raitngs,Votes
0,Hospital,https://content.jdmagicbox.com/comp/surat/v6/0261px261.x261.170501133132.f7v6/catalogue/unity-hospital-parvat-patia-surat-neurologists-jopxmt.jpg?clr=#464620?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Unity Hospital,Multispeciality Hospitals in Surat,"Aai Mata Road, Par.. |",Surat,Gujarat,India,08045786199,https://www.justdial.com/Surat/Unity-Hospital-Near-D-R-World-Parvat-Patia/0261PX261-X261-170501133132-F7V6_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.0,NaN
1,Hospital,https://content.jdmagicbox.com/comp/surat/b5/0261px261.x261.170107132333.r6b5/catalogue/city-life-care-multispeciality-hospital-kamrej-char-rasta-surat-hospitals-j2lwew.jpg?clr=#123e54?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,City Life Care Multispecial..,Multispeciality Hospitals,"Kamrej Road, Kamre.. |",Surat,Gujarat,India,07947255441,https://www.justdial.com/Surat/City-Life-Care-Multispeciality-Hospital-Kamrej-Char-Rasta/0261PX261-X261-170107132333-R6B5_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.9,130 Votes
2,Hospital,https://content.jdmagicbox.com/comp/surat/48/0261p261std2148/catalogue/harsh-hospital-and-maternity-home-adajan-road-surat-hospitals-61qke7ejkg.jpg?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Harsh Hospital & Maternity ..,Hospitals near me,Gujarat Gas Circle.. |,Surat,Gujarat,India,07947446035,https://www.justdial.com/Surat/Harsh-Hospital-Maternity-Home-Near-Sanghvi-Tower-Gujarat-Gas-Circle-Adajan-Road/0261P261STD2148_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.9,NaN
3,Hospital,https://content.jdmagicbox.com/comp/surat/dc/0261px261.x261.090613093539.q8n6dc/catalogue/asutosh-multispeciality-hospital-majura-gate-surat-hospitals-8fqv5.jpg?clr=#1d492c?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Asutosh Multispeciality Hos..,Private Hospitals near me,"Kshetrapal Road, M.. |",Surat,Gujarat,India,07947255775,https://www.justdial.com/Surat/Asutosh-Multispeciality-Hospital-Kailash-Nagar-Beside-Kshetrapal-Temple-Majura-Gate/0261PX261-X261-090613093539-Q8N6DC_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.3,414 Votes
4,Hospital,https://content.jdmagicbox.com/comp/surat/k6/0261px261.x261.140410075607.y4k6/catalogue/malavia-hospital-adajan-dn-surat-hospitals-ggljw.jpg?clr=#47291f?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Malavia Hospital,Eye Hospitals near me,"Anand Mahal Road, .. |",Surat,Gujarat,India,07947332895,https://www.justdial.com/Surat/Malavia-Hospital-Opposite-Prime-Arcade-Adajan-Dn/0261PX261-X261-140410075607-Y4K6_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.2,NaN
5,Hospital,https://content.jdmagicbox.com/comp/surat/x1/0261px261.x261.210615135218.q2x1/catalogue/deep-children-hospital-katargam-singanpore-road-katargram-surat-children-hospitals-0u8w1k2vy7.jpg?clr=#006666?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Deep Children Hospital,Children Hospitals near me,Katargam Singanpor.. |,Surat,Gujarat,India,07947247649,https://www.justdial.com/Surat/Deep-Children-Hospital-Near-Rajdeep-Society-Katargam-Singanpore-Road-Katargram/0261PX261-X261-210615135218-Q2X1_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.5,208 Votes
6,Hospital,https://content.jdmagicbox.com/comp/surat/x4/0261px261.x261.181115190511.e6x4/catalogue/apex-hospital-and-icu-pal-bhatha-surat-hospitals-zulo5so6xv.jpg?clr=#203346?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Apex Hospital & ICU,Charitable Hospitals near me,New Gaurav Path Ro.. |,Surat,Gujarat,India,07947079718,https://www.justdial.com/Surat/Apex-Hospital-ICU-Near-Raj-Corner-Pal-Bhatha/0261PX261-X261-181115190511-E6X4_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.6,NaN
7,Hospital,https://content.jdmagicbox.com/comp/surat/e8/0261px261.x261.181214194610.l5e8/catalogue/ratandeep-cancer-centre-and-multi-speciality-hospital-surat-joutd6zblf.jpg?clr=#392d2d?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Ratandeep - Cancer Centre a..,Shalby Hospitals near me,"Citylight Road, Ne.. |",Surat,Gujarat,India,07947077139,https://www.justdial.com/Surat/Ratandeep-Cancer-Centre-and-Multi-Speciality-Hospital-Opposite-Spring-Valley-Apartments-New-City-Light/0261PX261-X261-181214194610-L5E8_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.4,537 Votes
8,Hospital,https://content.jdmagicbox.com/comp/surat/f2/0261px261.x261.190204182851.c8f2/catalogue/golden-care-multispeciality-hospital-city-light-town-surat-polyclinics-fbuu0sobwa.jpg?clr=#521414?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Golden Care Multispeciality..,Maternity Hospitals near me,"Citylight Road, Ci.. |",Surat,Gujarat,India,07947082177,https://www.justdial.com/Surat/Golden-Care-Multispeciality-Hospital-Opposite-Science-Center-City-Light-Town/0261PX261-X261-190204182851-C8F2_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.9,NaN
9,Hospital,https://content.jdmagicbox.com/comp/surat/y9/0261px261.x261.131224111304.z3y9/catalogue/skinwise-skin-and-hair-transplant-clinic-adajan-dn-surat-hair-loss-doctors-tm3sxsq7tv.jpg?clr=#2e382e?fit=around%7C270%3A130&crop=270%3A130%3B%2A%2C%2A,Skinwise Skin clinic And Me..,Veterinary Hospitals near me,"Hazira Road, Adaja.. |",Surat,Gujarat,India,07947295553,https://www.justdial.com/Surat/Skinwise-Skin-clinic-And-Mediwise-Hospital-Icu-Opposit-Bhulaka-Bhawan-School-Adajan-Dn/0261PX261-X261-131224111304-Z3Y9_BZDET?xid=U3VyYXQgTXVsdGlzcGVjaWFsaXR5IEhvc3BpdGFscw==,4.8,140 Votes
