,Options
0,"Below 18 years, 19 - 30 years, 31 - 40 years, 41 - 50 years, 51 - 60 years, Above 60 years, "
1,"Tiredness, Throat Pain, Fever, Loss of Taste/Smell, Cough, Breathing Difficulty, Muscle Pain, Loose stools, None of the above, "
2,"1 - 3 days, 3- 5 days, 5 -7 days, 7 - 14 days, "
3,"Mild, Moderate, Severe, No pain, "
4,"Yes, No, "
5,"Yes, No, Don't Know, "
6,"Yes, No, Don't Know, "
7,"Yes, No, Don't Know, "
8,"Yes, No, "
9,"Yes, No, Sometimes, "
10,"currently Covid +ve, Recovered from Covid, Don't Know, Not yet tested, No, "
11,"Yes - both doses, Yes - but only 1 dose, No, "
