0,Rungta Hospital,"Calgiri Marg, near Police Station, Jhalana Gram, Malviya Nagar,, Near Saint Anslems School, - 302017
,",0141-4039999,+918003068333,relationship@rungtahospital.com,https://www.rungtahospital.com/,150,32,5,1,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,https://www.indiahealthcare.org/static/images2/NABH%202.png
1,"Dharamshila Hospital And Research Centre, Delhi","Vasundhara Enclave, Near New Ashok Nagar Metro Station, New Delhi, Delhi, Vidhata Apartments, - 110096
, Delhi",+91-8130000120,+918130000120,contact@dhrc.in,http://www.dhrc.in,300,45,7,NaN,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,"https://www.indiahealthcare.org/static/images2/NABH%202.png , https://www.indiahealthcare.org/static/images2/ISO.png"
2,"Care Hospitals, Vishakhapatnam","AS Raja Complex, 10-50-11/5, Waltair Main Rd, Ram Nagar, Visakhapatnam, Andhra Pradesh, Bethany School, - 530002
,",+91-9177075888/8913041444,+918913041444,medicaldirectorvizag@carehospitals.com,http://www.carehospitals.com,250,60,9,25,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,https://www.indiahealthcare.org/static/images2/NABH%202.png
3,"Max Super Speciality Hospitals, Patparganj","108A, I.P.Extension, Patparganj, Near CCD, - 110092
East, Delhi",+91-11-4303 3333,+911143033333,maxsuper@gmail.com,www.maxhealthcare.in,420,4,10,1200,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,"https://www.indiahealthcare.org/static/images2/NABH%202.png , https://www.indiahealthcare.org/static/images2/ISO.png"
4,"Max Super Speciality Hospitals, Delhi","1, 2, Press Enclave Marg, Saket Institutional Area, Saket, New Delhi, Near CCD, - 110017
,",+91-11-26515050,+911126515050,ips.query@maxhealthcare.com,http://www.maxhealthcare.in,531,NaN,18,55000,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,"https://www.indiahealthcare.org/static/images2/NABH%202.png , https://www.indiahealthcare.org/static/images2/ISO.png"
5,"Zydus Hospital, Anand","Anand-Lambhvel Road, Zydus Rd, Anand, Gujarat, , Anand - 388001
Anand, Gujarat",+91-8128678992,+918128678992,info@zydushospitals.com,http://www.zydushospitals.com,150,32,5,1000,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,https://www.indiahealthcare.org/static/images2/NABH%202.png
6,"Vijaya Group Of Hospitals, Chennai","New No:434, Old No:180, NSK Salai, Vadapalani, Kamala Theatre, Chennai - 600026
Chennai, Tamil Nadu",+91-44-66646600,--Not Available--,care@vijayahospital.org,http://www.vijayahospital.org/,750,5,130,75,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,"https://www.indiahealthcare.org/static/images2/NABH%202.png , https://www.indiahealthcare.org/static/images2/ISO.png"
7,"Valiyath Institute Of Medical Sciences, Kollam","Market Road, Near Thevar Kaavu Sree Devi Temple, Karunagappally, Kerala, Thaikavu Masjid Market Road, Kollam - 690518
Kollam, Kerala",+91-476-2659999,--Not Available--,valiyathhospital@gmail.com,http://www.valiyathmedicare.in,350,62,6,52,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,"https://www.indiahealthcare.org/static/images2/NABH%202.png , https://www.indiahealthcare.org/static/images2/ISO.png"
8,"The Madras Medical Mission, Chennai","4-A, Dr, Mogappair, Chennai, Tamil Nadu, , Chennai - 600037
Chennai, Tamil Nadu",+91-44 26561801/26565961,--Not Available--,icvddoctors@mmm.org.in,http://www.madrasmedicalmission.org,270,108,8,303,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,"https://www.indiahealthcare.org/static/images2/NABH%202.png , https://www.indiahealthcare.org/static/images2/ISO.png"
9,"Sri Ramachandra Medical Centre, Chennai","No.1, Ramachandra Nagar, Sri Ramachandra Nagar, Chennai, Tamil Nadu, Ramachandra bus stop, Chennai - 600116
Chennai, Tamil Nadu",+91-9840999840,+919840999840,srmcinternationalptcare@gmail.com,htpp://www.sriramachandra.edu.in,NaN,NaN,NaN,NaN,Urologist,Robotic Surgeries,254000 INR,95250 INR,2 days,2 days,"https://www.indiahealthcare.org/static/images2/JCI.jpeg , https://www.indiahealthcare.org/static/images2/NABH%202.png , https://www.indiahealthcare.org/static/images2/ISO.png"
